Title,Group,total 16+,16 -19 ,20 -24,25 to 34 ,35 to 44 ,45 to 54 ,55 to 64 ,65 +,Median
Chief executives,Management occupations,"1,649",2,11,120,309,560,449,198,52.2
General and operations managers,Management occupations,949,2,34,231,261,245,141,35,43.2
Legislators,Management occupations,20,0,0,2,7,3,2,6,-
Advertising and promotions managers,Management occupations,67,0,2,27,12,18,2,4,37.2
Marketing and sales managers,Management occupations,"1,066",7,52,261,283,263,166,35,42.5
Public relations and fundraising managers,Management occupations,62,0,2,19,17,16,8,1,42.8
Administrative services managers,Management occupations,181,1,6,29,29,63,44,9,49
Computer and information systems managers,Management occupations,597,1,9,95,178,202,95,18,45.5
Financial managers,Management occupations,"1,197",2,31,251,340,321,196,57,44.4
Compensation and benefits managers,Management occupations,20,0,0,5,6,5,4,0,-
Human resources managers,Management occupations,287,0,6,44,97,84,44,11,44.6
Training and development managers,Management occupations,58,1,2,10,14,18,11,0,45.4
Industrial production managers,Management occupations,275,0,6,44,66,85,63,11,48.4
Purchasing managers,Management occupations,203,0,8,29,45,50,56,14,48.1
"Transportation, storage, and distribution managers",Management occupations,299,1,15,60,78,80,51,13,43.7
"Farmers, ranchers, and other agricultural managers",Management occupations,"1,042",8,25,122,139,192,264,293,55.6
Construction managers,Management occupations,812,4,14,140,177,237,188,54,48.5
Education administrators,Management occupations,954,5,24,134,260,280,176,76,46.2
Architectural and engineering managers,Management occupations,136,0,0,16,39,39,34,7,48.9
Food service managers,Management occupations,"1,157",20,140,303,228,254,165,47,40.2
Funeral service managers,Management occupations,15,0,0,3,4,2,4,2,-
Gaming managers,Management occupations,16,0,1,5,4,3,2,1,-
Lodging managers,Management occupations,166,2,9,35,42,39,28,11,43.6
Medical and health services managers,Management occupations,593,0,11,102,148,165,132,35,47.3
Natural sciences managers,Management occupations,14,0,2,4,4,1,4,0,-
Postmasters and mail superintendents,Management occupations,25,0,1,0,3,10,10,1,-
"Property, real estate, and community association managers",Management occupations,709,1,11,114,141,173,164,106,49.8
Social and community service managers,Management occupations,421,0,20,96,92,93,87,32,44.7
Emergency management directors,Management occupations,10,0,0,1,2,4,3,0,-
"Managers, all other",Management occupations,"4,420",7,91,728,"1,073","1,254",947,320,47.5
"Agents and business managers of artists, performers, and athletes",Business and Financial Operations Occupations,38,0,3,12,8,6,3,5,-
"Buyers and purchasing agents, farm products",Business and Financial Operations Occupations,11,1,1,2,1,1,5,1,-
"Wholesale and retail buyers, except farm products",Business and Financial Operations Occupations,207,4,18,43,33,44,49,17,46
"Purchasing agents, except wholesale, retail, and farm products",Business and Financial Operations Occupations,272,1,13,63,57,65,59,13,45.5
"Claims adjusters, appraisers, examiners, and investigators",Business and Financial Operations Occupations,349,0,15,88,87,83,63,14,43.6
Compliance officers,Business and Financial Operations Occupations,270,0,10,50,72,58,65,14,45.7
Cost estimators,Business and Financial Operations Occupations,113,0,5,25,20,26,29,9,46.5
Human resources workers,Business and Financial Operations Occupations,693,4,34,210,180,135,105,25,40.9
"Compensation, benefits, and job analysis specialists",Business and Financial Operations Occupations,77,0,3,19,19,21,15,1,43.3
Training and development specialists,Business and Financial Operations Occupations,156,1,10,35,33,38,30,8,45.8
Logisticians,Business and Financial Operations Occupations,115,0,10,38,21,22,22,2,41
Management analysts,Business and Financial Operations Occupations,902,1,37,207,202,199,171,86,45.3
"Meeting, convention, and event planners",Business and Financial Operations Occupations,162,1,21,50,33,23,25,8,37.9
Fundraisers,Business and Financial Operations Occupations,86,1,9,21,17,19,15,5,43.4
Market research analysts and marketing specialists,Business and Financial Operations Occupations,302,2,31,112,64,47,37,9,37
"Business operations specialists, all other",Business and Financial Operations Occupations,290,3,20,54,63,72,59,20,45.7
Accountants and auditors,Business and Financial Operations Occupations,"1,777",1,87,430,356,433,343,126,45.2
Appraisers and assessors of real estate,Business and Financial Operations Occupations,73,0,1,6,16,20,22,7,50.4
Budget analysts,Business and Financial Operations Occupations,53,0,1,8,12,17,12,2,49.1
Credit analysts,Business and Financial Operations Occupations,27,0,2,6,12,4,4,0,-
Financial analysts,Business and Financial Operations Occupations,307,0,22,126,69,49,32,10,37.5
Personal financial advisors,Business and Financial Operations Occupations,513,0,20,129,129,106,92,37,43.3
Insurance underwriters,Business and Financial Operations Occupations,104,0,4,28,22,27,20,3,44
Financial examiners,Business and Financial Operations Occupations,14,0,1,2,2,4,3,1,-
Credit counselors and loan officers,Business and Financial Operations Occupations,367,2,19,89,97,91,54,16,42.6
"Tax examiners and collectors, and revenue agents",Business and Financial Operations Occupations,68,0,1,16,11,20,18,3,49.8
Tax preparers,Business and Financial Operations Occupations,108,0,5,16,19,23,27,19,51.4
"Financial specialists, all other",Business and Financial Operations Occupations,68,0,2,16,22,13,11,4,42.3
Computer and information research scientists,Computer and mathematical occupations,20,0,1,4,7,6,2,0,-
Computer systems analysts,Computer and mathematical occupations,526,1,30,138,137,129,79,12,42.4
Information security analysts,Computer and mathematical occupations,89,0,7,15,25,24,17,1,43.3
Computer programmers,Computer and mathematical occupations,466,3,26,109,124,119,66,19,42.4
"Software developers, applications and systems software",Computer and mathematical occupations,"1,483",6,79,490,404,302,168,35,39.6
Web developers,Computer and mathematical occupations,205,2,16,77,64,30,14,3,37.3
Computer support specialists,Computer and mathematical occupations,570,8,44,163,143,110,84,18,40.1
Database administrators,Computer and mathematical occupations,90,0,5,23,20,19,20,2,43.8
Network and computer systems administrators,Computer and mathematical occupations,218,0,10,52,68,61,22,5,41.4
Computer network architects,Computer and mathematical occupations,115,0,5,31,42,26,9,3,40.5
"Computer occupations, all other",Computer and mathematical occupations,596,10,41,157,165,125,82,16,40.9
Actuaries,Computer and mathematical occupations,14,0,0,7,1,4,0,1,-
Mathematicians,Computer and mathematical occupations,4,0,0,0,0,3,1,0,-
Operations research analysts,Computer and mathematical occupations,129,0,5,30,39,30,19,6,43.7
Statisticians,Computer and mathematical occupations,74,0,10,33,10,9,9,2,35.2
Miscellaneous mathematical science occupations,Computer and mathematical occupations,2,0,0,1,0,0,0,0,-
"Architects, except naval",Architecture and engineering occupations,246,1,9,66,45,67,35,24,44.1
"Surveyors, cartographers, and photogrammetrists",Architecture and engineering occupations,34,0,2,9,9,6,7,2,-
Aerospace engineers,Architecture and engineering occupations,130,1,3,31,27,28,33,7,45.9
Agricultural engineers,Architecture and engineering occupations,2,0,0,0,0,2,0,0,-
Biomedical engineers,Architecture and engineering occupations,13,0,2,6,3,0,1,2,-
Chemical engineers,Architecture and engineering occupations,79,0,7,19,15,17,17,3,41.7
Civil engineers,Architecture and engineering occupations,425,2,30,114,89,92,77,21,42.5
Computer hardware engineers,Architecture and engineering occupations,69,0,4,17,19,18,8,2,41
Electrical and electronics engineers,Architecture and engineering occupations,293,1,16,68,67,63,65,13,44.8
Environmental engineers,Architecture and engineering occupations,33,1,1,5,13,6,7,1,-
"Industrial engineers, including health and safety",Architecture and engineering occupations,220,0,13,64,42,48,44,9,42.7
Marine engineers and naval architects,Architecture and engineering occupations,13,0,1,3,4,3,3,0,-
Materials engineers,Architecture and engineering occupations,31,0,0,5,8,6,8,3,-
Mechanical engineers,Architecture and engineering occupations,350,1,24,93,82,70,60,19,42.1
