OCC_GROUP_ID,OCC_GROUP,YEAR,RACE,TOTAL,MEN,WOMEN,,,
00-0000,Total,2015,All,148834.00,79131.00,69703.00,,,
11-0000,Management Occupations,2015,All,16.20,17.20,15.10,,,
13-0000,Business and Financial Operations Occupations,2015,All,22.70,18.30,27.80,,,
39-0000,Personal Care and Service Occupations,2015,All,17.40,14.20,21.10,,,
41-0000,Sales and Related Occupations,2015,All,10.50,10.10,11.10,,,
43-0000,Office and Administrative Support Occupations,2015,All,12.00,6.30,18.50,,,
45-0000,"Farming, Fishing, and Forestry Occupations",2015,All,0.70,1.00,0.40,,,
47-0000,Construction and Extraction Occupations,2015,All,5.10,9.40,0.30,,,
49-0000,"Installation, Maintenance, and Repair Occupations",2015,All,3.40,6.10,0.30,,,
51-0000,Production Occupations,2015,All,5.70,7.70,3.50,,,
53-0000,Transportation and Material Moving Occupations,2015,All,6.10,9.80,2.00,,,
00-0000,Total,2016,All,151436.00,80568.00,70868.00,,,
11-0000,Management Occupations,2016,All,16.50,17.40,15.40,,,
13-0000,Business and Financial Operations Occupations,2016,All,22.80,18.40,27.80,,,
39-0000,Personal Care and Service Occupations,2016,All,17.70,14.40,21.40,,,
41-0000,Sales and Related Occupations,2016,All,10.50,10.00,11.00,,,
43-0000,Office and Administrative Support Occupations,2016,All,11.70,6.10,18.00,,,
45-0000,"Farming, Fishing, and Forestry Occupations",2016,All,0.70,1.10,0.30,,,
47-0000,Construction and Extraction Occupations,2016,All,5.20,9.50,0.30,,,
49-0000,"Installation, Maintenance, and Repair Occupations",2016,All,3.20,5.80,0.20,,,
51-0000,Production Occupations,2016,All,5.60,7.50,3.40,,,
53-0000,Transportation and Material Moving Occupations,2016,All,6.10,9.60,2.20,,,
00-0000,Total,2015,White,117944.00,63892.00,54052.00,,,
11-0000,Management Occupations,2015,White,17.00,18.20,15.60,,,
13-0000,Business and Financial Operations Occupations,2015,White,22.70,17.80,28.40,,,
39-0000,Personal Care and Service Occupations,2015,White,16.20,13.10,19.80,,,
41-0000,Sales and Related Occupations,2015,White,10.80,10.40,11.20,,,
43-0000,Office and Administrative Support Occupations,2015,White,11.80,5.80,18.90,,,
45-0000,"Farming, Fishing, and Forestry Occupations",2015,White,0.80,1.10,0.40,,,
47-0000,Construction and Extraction Occupations,2015,White,5.70,10.30,0.30,,,
49-0000,"Installation, Maintenance, and Repair Occupations",2015,White,3.60,6.50,0.30,,,
